Brand and model;Year of manufacture;Mileage;Engine power (hp);Fuel type;Transmission type;Trim level / Equipment line;Vehicle condition;Origin;Energy consumption;Power output (kW);Category / Vehicle type;Engine displacement (cc);Price (EUR);Color;Air conditioning / Climate control;Transmission;Number of doors;Number of seats;Drive type;Interior equipment / Interior design;Accident history;Number of previous owners;Maintenance / service history;Inspection status (TÜV/HU);Sale price;Region / city;Listing duration;Seller type;Dealer rating;Body & paint;Panel gaps & fit;Windows & lights;Tires & wheels;Undercarriage & edges;Seats & upholstery;Dashboard & controls;Headliner & carpets;Trunk;Odor;Extras
Renault Clio;2012;59914;261;petrol;automatic;Premium;very good;private;4.5;194.6;Van;2200;21811;black;automatic climate control;automatic;3;4;front-wheel;synthetic;Minor accident;1;Partial service history;Expiring soon;21811;Berlin;<7 days;Private;;Fair;Uneven;Minor scratches;New;Minor rust;Excellent;Good;Moisture damage;Rust;Pet odor;Rearview camera, Lane-keeping assist, Trailer hitch, Alloy wheels, Park assist
Mercedes-Benz GLA;2020;37114;199;diesel;manual;Premium;good;private;8.4;148.4;Wagon;2200;4908;green;automatic climate control;manual;3;5;front-wheel;part-leather;Accident-free;5;Partial service history;Valid TÜV/HU;4908;Hamburg;3-6 months;Dealer;2.6;Poor;Slightly uneven;Clear;Uneven wear;Clean;Excellent;Worn;Clean;Moisture;Moisture;Alloy wheels, Trailer hitch, Panoramic roof
Renault Captur;2006;100443;60;petrol;manual;Excellence;acceptable;private;5.5;44.7;Convertible;1000;3405;brown;automatic climate control;manual;4;5;front-wheel;cloth;Minor accident;5;Unknown;Expired;3405;Frankfurt;<7 days;Private;;Good;Uneven;Minor scratches;Uneven wear;Minor rust;Excellent;Worn;Sagging;Minor stains;Smoke;Alloy wheels, Panoramic roof, Trailer hitch, Lane-keeping assist
Renault Captur;2008;99843;194;diesel;automatic;Base;needs work;private;5.3;144.7;Coupe;2000;24399;brown;automatic climate control;automatic;5;5;front-wheel;cloth;Major accident;1;Unknown;Valid TÜV/HU;24399;Hamburg;7-30 days;Private;;Fair;Even;Clear;Uneven wear;Water damage;Good;Scratched;Sagging;Moisture;Moisture;Alloy wheels, Trailer hitch, Park assist, Rearview camera
Opel Corsa;2019;84217;131;petrol;manual;Excellence;good;trade-in;5.3;97.7;SUV;1800;1500;grey;manual AC;manual;4;5;rear-wheel;cloth;Major accident;2;Full service history;Valid TÜV/HU;1500;Leipzig;1-3 months;Dealer;2.8;Fair;Uneven;Clear;Uneven wear;Oil stains;Good;Good;Minor stains;Rust;Smoke;Alloy wheels, Trailer hitch, Lane-keeping assist
Volkswagen Polo;2021;54007;122;petrol;manual;Base;acceptable;dealer;7.5;91.0;Van;1998;36799;grey;dual-zone climate control;manual;4;5;front-wheel;synthetic;Unknown;5;Unknown;Expiring soon;36799;Frankfurt;>6 months;Dealer;4.6;Poor;Uneven;Cracked or yellowed;Uneven wear;Clean;Excellent;Excellent;Minor stains;Minor stains;Smoke;Trailer hitch, Panoramic roof
Volkswagen Golf;2018;107180;60;hybrid;automatic;Limited;very good;import;4.4;44.7;Van;1400;26537;blue;dual-zone climate control;automatic;4;5;front-wheel;part-leather;Accident-free;2;Unknown;Valid TÜV/HU;26537;Leipzig;<7 days;Private;;Good;Uneven;Minor scratches;Damaged;Clean;Torn;Worn;Clean;Rust;Moisture;Park assist, Rearview camera, Alloy wheels, Panoramic roof, Trailer hitch, Lane-keeping assist
Hyundai i10;2008;70745;109;diesel;automatic;Trendline;needs work;dealer;8.9;81.3;SUV;1400;30563;blue;automatic climate control;automatic;4;5;front-wheel;synthetic;Accident-free;5;Full service history;Valid TÜV/HU;30563;Leipzig;<7 days;Private;;Poor;Even;Clear;Damaged;Oil stains;Torn;Scratched;Moisture damage;Rust;None;Alloy wheels, Trailer hitch, Rearview camera, Lane-keeping assist, Panoramic roof
Volkswagen Tiguan;2008;141549;205;petrol;manual;Limited;good;import;5.9;152.9;Hatchback;2200;10250;red;automatic climate control;manual;4;5;front-wheel;alcantara;Accident-free;2;Unknown;Expiring soon;10250;Frankfurt;<7 days;Dealer;4.2;Poor;Uneven;Cracked or yellowed;Damaged;Water damage;Good;Good;Moisture damage;Moisture;Smoke;Rearview camera, Park assist
Volkswagen Golf;2018;74539;169;petrol;automatic;Trendline;good;import;5.3;126.0;Coupe;2500;35657;beige;dual-zone climate control;automatic;4;5;all-wheel;leather;Accident-free;4;Full service history;Expiring soon;35657;Frankfurt;<7 days;Dealer;4.1;Excellent;Slightly uneven;Cracked or yellowed;New;Minor rust;Excellent;Scratched;Moisture damage;Minor stains;Smoke;Park assist, Rearview camera, Lane-keeping assist, Alloy wheels, Trailer hitch, Panoramic roof
Skoda Octavia;2016;66041;138;diesel;automatic;Base;very good;dealer;9.0;102.9;Hatchback;1998;6511;grey;manual AC;automatic;4;5;all-wheel;synthetic;Minor accident;3;Partial service history;Expiring soon;6511;Düsseldorf;1-3 months;Private;;Excellent;Uneven;Cracked or yellowed;Even wear;Water damage;Torn;Excellent;Sagging;Rust;Moisture;Panoramic roof, Alloy wheels, Rearview camera, Trailer hitch, Lane-keeping assist
Audi A4;2010;30189;198;hybrid;automatic;Limited;needs work;trade-in;5.8;147.6;Wagon;2200;40987;grey;no AC;automatic;4;5;front-wheel;cloth;Minor accident;5;Unknown;Expiring soon;40987;Frankfurt;1-3 months;Dealer;3.9;Excellent;Uneven;Minor scratches;Damaged;Minor rust;Torn;Good;Sagging;Minor stains;Moisture;Park assist, Panoramic roof, Lane-keeping assist, Alloy wheels, Trailer hitch
Renault Clio;2011;86399;210;petrol;manual;Excellence;very good;dealer;7.8;156.6;Coupe;3000;27062;red;no AC;manual;5;7;front-wheel;synthetic;Accident-free;3;Unknown;Valid TÜV/HU;27062;Munich;7-30 days;Dealer;2.7;Good;Slightly uneven;Minor scratches;New;Minor rust;Good;Excellent;Moisture damage;Minor stains;Smoke;Rearview camera, Trailer hitch, Lane-keeping assist
Opel Insignia;2022;57744;171;hybrid;automatic;Comfort;very good;import;3.1;127.5;Convertible;2500;43532;green;no AC;automatic;5;5;rear-wheel;synthetic;Major accident;4;Unknown;Expired;43532;Stuttgart;1-3 months;Private;;Poor;Slightly uneven;Clear;Damaged;Oil stains;Good;Worn;Sagging;Rust;None;Rearview camera, Alloy wheels, Park assist, Trailer hitch
BMW X5;2023;88208;243;petrol;manual;Base;good;private;6.3;181.2;Sedan;2200;1500;red;no AC;manual;4;5;all-wheel;synthetic;Unknown;3;Partial service history;Expiring soon;1500;Cologne;7-30 days;Private;;Good;Slightly uneven;Cracked or yellowed;Uneven wear;Oil stains;Torn;Scratched;Moisture damage;Minor stains;Moisture;Rearview camera
Ford Mondeo;2015;131095;155;diesel;automatic;Trendline;good;trade-in;7.9;115.6;Hatchback;2000;17813;blue;dual-zone climate control;automatic;4;2;front-wheel;part-leather;Unknown;2;Full service history;Valid TÜV/HU;17813;Munich;<7 days;Dealer;3.0;Good;Uneven;Clear;New;Minor rust;Excellent;Good;Moisture damage;Moisture;None;Alloy wheels, Trailer hitch, Panoramic roof, Lane-keeping assist
Hyundai i10;2015;94588;60;petrol;manual;Premium;good;private;7.8;44.7;SUV;1600;18924;beige;no AC;manual;3;7;front-wheel;alcantara;Unknown;1;Full service history;Unknown;18924;Berlin;<7 days;Private;;Fair;Even;Cracked or yellowed;Damaged;Minor rust;Excellent;Excellent;Minor stains;Minor stains;Smoke;Trailer hitch, Lane-keeping assist, Alloy wheels, Rearview camera
Mercedes-Benz E-Class;2009;107855;238;petrol;manual;Premium;acceptable;dealer;6.8;177.5;Van;2000;14744;grey;dual-zone climate control;manual;4;5;rear-wheel;cloth;Unknown;1;No service history;Unknown;14744;Leipzig;>6 months;Dealer;4.7;Good;Slightly uneven;Cracked or yellowed;New;Clean;Excellent;Scratched;Moisture damage;Rust;Pet odor;None
BMW X5;2012;49575;119;hybrid;manual;Sport;like new;private;6.2;88.7;Sedan;1600;34815;brown;automatic climate control;manual;5;5;all-wheel;synthetic;Accident-free;2;Full service history;Unknown;34815;Düsseldorf;1-3 months;Dealer;4.6;Excellent;Even;Clear;Damaged;Oil stains;Excellent;Excellent;Sagging;Clean;Smoke;Lane-keeping assist, Park assist, Rearview camera, Alloy wheels, Trailer hitch, Panoramic roof
Toyota Yaris;2024;106437;118;petrol;manual;Sport;acceptable;trade-in;6.8;88.0;Wagon;1998;29185;grey;no AC;manual;5;5;rear-wheel;alcantara;Accident-free;3;Partial service history;Expiring soon;29185;Düsseldorf;>6 months;Private;;Poor;Uneven;Clear;New;Oil stains;Excellent;Excellent;Moisture damage;Minor stains;None;Trailer hitch, Alloy wheels
Renault Clio;2014;94853;208;petrol;automatic;Premium;very good;private;5.7;155.1;Van;2200;12171;silver;automatic climate control;automatic;3;5;front-wheel;part-leather;Unknown;3;Full service history;Expired;12171;Leipzig;3-6 months;Dealer;4.6;Poor;Slightly uneven;Clear;Damaged;Clean;Worn;Good;Clean;Clean;Moisture;Panoramic roof
Volkswagen Passat;2018;73616;126;hybrid;automatic;Limited;new;trade-in;4.7;94.0;SUV;2000;1510;blue;dual-zone climate control;automatic;5;7;front-wheel;synthetic;Minor accident;4;No service history;Expired;1510;Munich;<7 days;Dealer;4.6;Poor;Slightly uneven;Minor scratches;New;Minor rust;Excellent;Good;Moisture damage;Rust;Pet odor;None
Hyundai i30;2020;104806;165;petrol;automatic;Sport;good;trade-in;8.1;123.0;Wagon;2200;22071;brown;automatic climate control;automatic;5;5;all-wheel;synthetic;Accident-free;1;No service history;Valid TÜV/HU;22071;Cologne;3-6 months;Dealer;2.7;Poor;Slightly uneven;Clear;Even wear;Minor rust;Torn;Good;Minor stains;Moisture;Moisture;Panoramic roof, Rearview camera
Hyundai i10;2005;78270;65;diesel;automatic;Sport;very good;import;6.4;48.5;Hatchback;1000;16110;brown;no AC;automatic;4;5;front-wheel;part-leather;Accident-free;2;Unknown;Expired;16110;Düsseldorf;1-3 months;Private;;Excellent;Slightly uneven;Minor scratches;Even wear;Water damage;Good;Scratched;Clean;Minor stains;Moisture;None
Ford Focus;2020;72864;101;diesel;automatic;Comfort;very good;dealer;8.4;75.3;Van;1400;19742;black;manual AC;automatic;5;5;front-wheel;leather;Unknown;3;Unknown;Expired;19742;Leipzig;1-3 months;Private;;Good;Slightly uneven;Minor scratches;Even wear;Water damage;Worn;Good;Moisture damage;Moisture;Moisture;Alloy wheels, Panoramic roof, Rearview camera, Trailer hitch, Lane-keeping assist
Mercedes-Benz E-Class;2020;110202;263;diesel;automatic;Limited;very good;import;5.3;196.1;Convertible;2000;24444;white;automatic climate control;automatic;5;5;front-wheel;alcantara;Major accident;4;No service history;Valid TÜV/HU;24444;Frankfurt;>6 months;Dealer;3.4;Excellent;Uneven;Minor scratches;Even wear;Water damage;Worn;Excellent;Moisture damage;Rust;Smoke;Lane-keeping assist, Rearview camera, Alloy wheels, Panoramic roof, Park assist
Hyundai i10;2017;102877;145;hybrid;automatic;Premium;good;private;3.4;108.1;Wagon;2000;1500;blue;manual AC;automatic;5;5;front-wheel;synthetic;Unknown;4;Full service history;Unknown;1500;Leipzig;>6 months;Private;;Poor;Uneven;Clear;Uneven wear;Clean;Excellent;Good;Sagging;Minor stains;None;Alloy wheels, Panoramic roof, Lane-keeping assist, Rearview camera
Opel Insignia;2016;88674;153;diesel;automatic;Excellence;good;trade-in;5.0;114.1;SUV;1400;56485;brown;automatic climate control;automatic;4;5;all-wheel;alcantara;Accident-free;1;Full service history;Expired;56485;Frankfurt;>6 months;Dealer;3.4;Fair;Slightly uneven;Minor scratches;Even wear;Oil stains;Excellent;Scratched;Clean;Moisture;Pet odor;None
Hyundai i10;2020;80381;168;petrol;manual;Comfort;good;private;8.7;125.3;Sedan;3000;21514;blue;dual-zone climate control;manual;4;5;rear-wheel;part-leather;Accident-free;2;No service history;Expired;21514;Cologne;3-6 months;Dealer;4.4;Poor;Slightly uneven;Minor scratches;New;Water damage;Torn;Worn;Clean;Moisture;None;Alloy wheels, Park assist, Trailer hitch, Rearview camera, Panoramic roof, Lane-keeping assist
Toyota Corolla;2020;31566;218;petrol;automatic;Excellence;very good;import;8.9;162.6;Van;2500;32527;blue;manual AC;automatic;4;5;front-wheel;part-leather;Minor accident;5;Partial service history;Expiring soon;32527;Cologne;>6 months;Private;;Poor;Even;Minor scratches;Even wear;Minor rust;Torn;Scratched;Clean;Minor stains;Pet odor;Panoramic roof, Alloy wheels, Park assist, Lane-keeping assist
Renault Captur;2012;129551;95;diesel;automatic;Excellence;new;import;5.6;70.8;Van;1600;41639;grey;no AC;automatic;4;5;front-wheel;alcantara;Minor accident;2;No service history;Valid TÜV/HU;41639;Munich;>6 months;Dealer;4.3;Fair;Even;Minor scratches;New;Oil stains;Torn;Worn;Moisture damage;Rust;None;Lane-keeping assist, Panoramic roof
Opel Insignia;2022;19907;185;petrol;automatic;Comfort;very good;dealer;8.1;138.0;SUV;2500;52666;white;automatic climate control;automatic;4;5;front-wheel;synthetic;Minor accident;3;Full service history;Expiring soon;52666;Cologne;<7 days;Dealer;4.6;Excellent;Even;Minor scratches;Even wear;Water damage;Torn;Good;Moisture damage;Rust;Smoke;Alloy wheels, Trailer hitch, Rearview camera
Skoda Kodiaq;2014;40473;116;hybrid;automatic;Comfort;very good;dealer;5.5;86.5;Hatchback;1400;23395;blue;manual AC;automatic;5;5;rear-wheel;leather;Minor accident;4;No service history;Expiring soon;23395;Hamburg;1-3 months;Private;;Excellent;Slightly uneven;Clear;Damaged;Minor rust;Good;Scratched;Moisture damage;Rust;Pet odor;Alloy wheels, Panoramic roof, Trailer hitch
Renault Clio;2005;64826;60;petrol;automatic;Trendline;needs work;import;9.2;44.7;Coupe;1400;22959;white;manual AC;automatic;4;5;rear-wheel;cloth;Minor accident;1;Full service history;Expiring soon;22959;Stuttgart;<7 days;Private;;Good;Uneven;Minor scratches;Even wear;Water damage;Torn;Excellent;Clean;Moisture;Moisture;Park assist, Panoramic roof, Rearview camera, Trailer hitch
Audi A4;2023;36884;178;petrol;automatic;Premium;acceptable;private;8.4;132.7;Coupe;2500;9128;brown;dual-zone climate control;automatic;4;5;front-wheel;synthetic;Accident-free;2;No service history;Valid TÜV/HU;9128;Leipzig;1-3 months;Private;;Excellent;Slightly uneven;Clear;Even wear;Minor rust;Worn;Scratched;Minor stains;Minor stains;Smoke;Rearview camera, Park assist, Lane-keeping assist, Panoramic roof, Alloy wheels, Trailer hitch
Hyundai i30;2024;167496;103;hybrid;automatic;Trendline;very good;dealer;3.5;76.8;Hatchback;1400;17491;beige;manual AC;automatic;4;5;rear-wheel;part-leather;Major accident;3;No service history;Expired;17491;Munich;7-30 days;Private;;Excellent;Slightly uneven;Cracked or yellowed;Even wear;Minor rust;Good;Good;Sagging;Minor stains;Pet odor;Rearview camera, Trailer hitch, Lane-keeping assist
Ford Focus;2012;130675;76;diesel;manual;Sport;very good;private;9.1;56.7;Wagon;1400;25184;grey;dual-zone climate control;manual;4;5;front-wheel;alcantara;Unknown;4;Unknown;Valid TÜV/HU;25184;Munich;3-6 months;Private;;Fair;Slightly uneven;Minor scratches;Uneven wear;Clean;Excellent;Scratched;Sagging;Clean;Pet odor;Panoramic roof
Audi A3;2006;155357;60;diesel;automatic;Excellence;good;import;6.7;44.7;Coupe;1200;24584;blue;dual-zone climate control;automatic;5;5;front-wheel;cloth;Minor accident;4;No service history;Expired;24584;Stuttgart;1-3 months;Dealer;4.2;Poor;Slightly uneven;Cracked or yellowed;New;Clean;Excellent;Scratched;Clean;Clean;Smoke;Panoramic roof, Park assist, Alloy wheels
Hyundai i30;2018;102994;196;diesel;automatic;Trendline;needs work;dealer;9.5;146.2;Van;2500;4682;blue;manual AC;automatic;5;5;front-wheel;part-leather;Minor accident;2;No service history;Expiring soon;4682;Stuttgart;<7 days;Private;;Fair;Even;Minor scratches;Even wear;Clean;Torn;Worn;Minor stains;Rust;None;Park assist, Alloy wheels, Rearview camera, Panoramic roof, Trailer hitch
Ford Fiesta;2023;23977;181;diesel;automatic;Base;good;trade-in;6.2;135.0;Van;3000;26157;white;automatic climate control;automatic;4;5;front-wheel;part-leather;Minor accident;5;Partial service history;Unknown;26157;Berlin;<7 days;Private;;Excellent;Slightly uneven;Cracked or yellowed;Even wear;Water damage;Excellent;Good;Moisture damage;Clean;None;None
Skoda Octavia;2019;102524;170;petrol;automatic;Excellence;good;dealer;7.8;126.8;Convertible;2000;12479;brown;dual-zone climate control;automatic;3;5;rear-wheel;part-leather;Major accident;3;No service history;Expiring soon;12479;Düsseldorf;7-30 days;Dealer;3.5;Excellent;Uneven;Cracked or yellowed;Even wear;Water damage;Worn;Good;Minor stains;Rust;Pet odor;Rearview camera, Park assist, Trailer hitch, Panoramic roof, Lane-keeping assist, Alloy wheels
Renault Clio;2011;101612;167;diesel;manual;Sport;acceptable;trade-in;5.1;124.5;Van;2500;11999;grey;automatic climate control;manual;4;2;front-wheel;leather;Major accident;4;No service history;Expiring soon;11999;Frankfurt;1-3 months;Dealer;3.7;Fair;Uneven;Clear;Uneven wear;Minor rust;Good;Scratched;Sagging;Clean;Smoke;Panoramic roof, Park assist, Rearview camera
BMW X5;2008;183288;178;petrol;manual;Premium;good;trade-in;8.7;132.7;Coupe;2200;5321;grey;dual-zone climate control;manual;4;5;all-wheel;synthetic;Unknown;5;Full service history;Valid TÜV/HU;5321;Cologne;1-3 months;Dealer;4.5;Poor;Slightly uneven;Cracked or yellowed;Even wear;Water damage;Excellent;Excellent;Clean;Clean;Moisture;Park assist
Audi A3;2013;122827;91;petrol;manual;Comfort;acceptable;import;8.1;67.9;Wagon;1600;33019;brown;automatic climate control;manual;4;5;front-wheel;synthetic;Accident-free;4;No service history;Unknown;33019;Düsseldorf;3-6 months;Dealer;2.6;Good;Slightly uneven;Clear;Uneven wear;Clean;Good;Good;Sagging;Rust;None;Alloy wheels, Panoramic roof
Opel Corsa;2015;147929;100;electric;automatic;Sport;very good;trade-in;15.3;74.6;Van;1600;35487;brown;dual-zone climate control;automatic;4;5;all-wheel;leather;Minor accident;1;Partial service history;Valid TÜV/HU;35487;Düsseldorf;<7 days;Private;;Excellent;Slightly uneven;Cracked or yellowed;Even wear;Clean;Excellent;Good;Clean;Minor stains;Pet odor;Trailer hitch, Alloy wheels
Renault Clio;2009;110639;199;electric;automatic;Base;acceptable;trade-in;15.7;148.4;Coupe;3500;48555;black;automatic climate control;automatic;4;5;front-wheel;part-leather;Major accident;2;No service history;Expiring soon;48555;Stuttgart;<7 days;Dealer;2.7;Poor;Slightly uneven;Cracked or yellowed;New;Oil stains;Excellent;Scratched;Moisture damage;Moisture;None;Trailer hitch, Rearview camera, Lane-keeping assist
Ford Kuga;2024;77730;104;diesel;manual;Excellence;good;trade-in;9.3;77.6;Van;2000;9546;brown;manual AC;manual;4;5;rear-wheel;alcantara;Minor accident;3;Full service history;Valid TÜV/HU;9546;Frankfurt;>6 months;Dealer;2.7;Excellent;Even;Clear;Damaged;Oil stains;Torn;Good;Minor stains;Clean;Pet odor;Lane-keeping assist
Mercedes-Benz C-Class;2018;49209;145;diesel;manual;Base;good;import;9.0;108.1;Sedan;1400;26776;red;manual AC;manual;4;5;front-wheel;synthetic;Minor accident;4;No service history;Expired;26776;Munich;>6 months;Private;;Excellent;Uneven;Cracked or yellowed;New;Minor rust;Good;Excellent;Moisture damage;Clean;Pet odor;Lane-keeping assist, Alloy wheels, Trailer hitch, Park assist, Rearview camera, Panoramic roof
Opel Insignia;2010;103834;199;petrol;manual;Sport;good;private;7.0;148.4;Convertible;2200;22182;silver;automatic climate control;manual;4;5;front-wheel;cloth;Major accident;2;No service history;Expired;22182;Frankfurt;3-6 months;Private;;Poor;Even;Cracked or yellowed;Even wear;Minor rust;Excellent;Scratched;Clean;Minor stains;Moisture;Alloy wheels, Park assist, Lane-keeping assist, Trailer hitch, Rearview camera
Renault Mégane;2022;162676;134;petrol;manual;Premium;very good;trade-in;8.0;99.9;Coupe;1600;60082;blue;automatic climate control;manual;5;5;front-wheel;part-leather;Major accident;1;Partial service history;Expiring soon;60082;Düsseldorf;3-6 months;Dealer;4.1;Fair;Even;Clear;Even wear;Water damage;Worn;Scratched;Clean;Clean;Smoke;Panoramic roof, Park assist, Trailer hitch, Rearview camera, Alloy wheels
Hyundai Tucson;2023;121283;98;electric;automatic;Excellence;good;import;15.1;73.1;Wagon;1400;7007;black;dual-zone climate control;automatic;5;5;all-wheel;leather;Minor accident;3;No service history;Expired;7007;Düsseldorf;1-3 months;Private;;Poor;Slightly uneven;Clear;New;Minor rust;Good;Excellent;Minor stains;Clean;Smoke;Panoramic roof, Lane-keeping assist, Alloy wheels
Hyundai Tucson;2012;114123;136;diesel;manual;Limited;acceptable;private;7.6;101.4;Van;1600;31996;black;no AC;manual;5;4;front-wheel;leather;Accident-free;5;No service history;Expiring soon;31996;Leipzig;1-3 months;Private;;Fair;Even;Clear;Even wear;Oil stains;Excellent;Good;Sagging;Minor stains;None;Rearview camera, Lane-keeping assist, Panoramic roof, Trailer hitch, Park assist
BMW X3;2015;113661;145;petrol;automatic;Premium;acceptable;import;7.2;108.1;SUV;2000;10144;silver;no AC;automatic;5;5;all-wheel;alcantara;Major accident;3;Partial service history;Valid TÜV/HU;10144;Düsseldorf;3-6 months;Dealer;4.9;Poor;Even;Clear;New;Clean;Excellent;Good;Minor stains;Minor stains;Pet odor;Alloy wheels, Park assist
Toyota Corolla;2019;14257;123;petrol;manual;Excellence;good;trade-in;9.3;91.7;Wagon;1400;33989;beige;no AC;manual;3;5;front-wheel;cloth;Major accident;1;Full service history;Valid TÜV/HU;33989;Frankfurt;3-6 months;Dealer;4.2;Fair;Even;Clear;Damaged;Clean;Good;Scratched;Moisture damage;Rust;None;Alloy wheels, Panoramic roof, Rearview camera
Renault Mégane;2013;100704;75;hybrid;manual;Base;good;trade-in;3.1;55.9;Convertible;1600;24424;red;automatic climate control;manual;4;5;front-wheel;alcantara;Major accident;2;Partial service history;Expired;24424;Stuttgart;3-6 months;Dealer;2.6;Good;Uneven;Minor scratches;Damaged;Water damage;Torn;Excellent;Clean;Moisture;Pet odor;Panoramic roof
Opel Astra;2009;109265;96;hybrid;automatic;Sport;very good;private;6.1;71.6;Hatchback;1000;24152;green;dual-zone climate control;automatic;4;5;rear-wheel;synthetic;Minor accident;5;Partial service history;Valid TÜV/HU;24152;Düsseldorf;1-3 months;Private;;Poor;Slightly uneven;Cracked or yellowed;Uneven wear;Water damage;Worn;Good;Clean;Moisture;Smoke;None
Opel Insignia;2009;92910;81;diesel;manual;Premium;good;import;4.7;60.4;SUV;1600;27009;grey;dual-zone climate control;manual;4;5;front-wheel;alcantara;Major accident;1;Unknown;Expired;27009;Frankfurt;7-30 days;Dealer;3.7;Good;Slightly uneven;Cracked or yellowed;New;Minor rust;Torn;Worn;Minor stains;Minor stains;Smoke;Lane-keeping assist, Alloy wheels, Park assist, Trailer hitch
